■頭部パーツ
○名称	チップ容量	重量	装甲	射撃補正	索敵	ロックオン	DEF回復	条件	素材・勲章	GP
シュライクV型	3.1	1070	D-	C-	C	A+	D	シュライクII型／胴パーツを所持	超剛性メタルx1 ニュード胚x20 ソノチップx1	150
シュライクW型	2.9	1100	D-	B	D-	S	D+	シュライクV型／胴パーツを所持	ウーツ重鋼x3 ニュード融素子x2 ソノチップx3	250
ヤクシャ	2.3	1150	D	B	D+	B+	D+	累計バトル時間92000秒以上。または15000pt以上。	超剛性メタルx2 ニュード卵x25 ソノチップx2	150
ヤクシャ・改	2.7	1160	D-	A+	E+	B+	C-	ヤクシャ／胴パーツを所持	隕鉄塊x25 ニュード群体x5 メタモチップx1	250
ヤクシャ・弐	2.2	1180	D	B-	C	B+	D+	ヤクシャ・改／胴パーツを所持	英雄章x2 複層重合金属x1 ニュード胚x20 ソノチップx5	350
ヤクシャ・零	2.4	1210	D	A-	C-	A-	D	ヤクシャ・弐／胴パーツを所持	連続勝利章x5 超剛性メタルx5 真鋼テクタイトx2 ロゼンジ重回路x7	400
セイバーI型	3.3	1130	D-	B-	D	A+	C	累計バトル時間54000秒以上。または10125pt以上。	鉛板x10 ニュード素子x10 ソノチップx3	50
セイバーI型R	2.9	1150	D-	C+	C	A	C-	セイバーI型／胴パーツを所持	鉛板x10 ニュード集積体x2 黄金片x10	100
セイバーII型	3.5	1160	D-	A-	E+	A+	C	セイバーI型R／胴パーツを所持	鉛板x15 ニュード群体x3 カロラチップx1	200
セイバーZX	2.6	1200	D+	S	E+	A+	C-	セイバーII型／胴パーツを所持	コアストライカーx10 複層重合金属x1 ニュード卵x25 モノリスＮＳＩx1	300
B.U.Z.－α	3.4	970	E	B-	E+	A+	C+	累計バトル時間98000秒以上。または累計スコア13875pt以上。	超剛性メタルx2 ニュード素子x10 銅片x15	100
B.U.Z.－β	2.9	980	E	C	C	A	D+	B.U.Z.-α／胴パーツを所持	超剛性メタルx2 ニュード融素子x1 銅片x10	150
B.U.Z.－γ	3.3	1050	E	A+	E	A+	D+	B.U.Z.-β／胴パーツを所持	マルチスコアラー/銀x20 複層重合金属x1 ニュード群体x3 カロラチップx1	250
B.U.Z.－λ	2.9	1030	E+	C+	C-	A	D+	B.U.Z.-γ／胴パーツを所持	マルチスコアラー/金x5 超剛性メタルx3 ニュード融素子x1 ロゼンジ重回路x5	350
フォーミュラII型	3.0	1090	D-	C-	C+	A	C-	累計バトル時間104000秒以上。または累計スコア20625pt以上。	超剛性メタルx1 ニュード素子x10 銀片x20	100
フォーミュラII型C	3.0	1120	D-	B	D+	A	D+	フォーミュラII型／胴パーツを所持	複層重合金属x1 ニュード胚x15 黄金片x5	200
フォーミュラF型	2.8	1170	D+	D-	B+	A	C	フォーミュラII型C／胴パーツを所持	白銀武勲x30 鉛板x15 ニュード集積体x3 カロラチップx1	300
フォーミュラMST	2.6	1180	D+	B+	D+	A-	B-	フォーミュラF型／胴パーツを所持	黄金武勲x3 隕鉄塊x15 真鋼テクタイトx2 ニュード融素子x2	400
アスラ	3.0	1020	E	C+	D+	A-	C-	累計バトル時間110000秒以上もしくは累計スコア19500pt以上(3.5AB準拠)で開放	チタン鋼x15 ニュード集積体x2 銀片x5	150
アスラ・弐	2.7	1040	E	D+	B	A-	D+	アスラ／胴パーツを所持	複層重合金属x1 ニュード集積体x1 ハニカム回路x15	250
アスラ・参	3.2	1070	E	B+	D	A-	D+	アスラ・弐／胴パーツを所持	プラントゲイナーx10 ウーツ重鋼x5 ニュード融素子x1 高磁性アグミナx2	350
月影	2.8	1030	D-	B-	D+	A-	D+	累計バトル時間140000秒以上もしくは累計スコア24000pt以上	隕鉄塊x15 ニュード卵x15 メタモチップx2	150
月影・新	2.6	1060	E+	A-	D+	A-	D-	月影／胴パーツを所持	鉛板x20 ニュード融素子x1 ハニカム回路x10	200
月影・暁	3.0	1110	D+	C	C-	A+	D+	月影・新／胴パーツを所持	連続勝利章x3 チタン鋼x10 ニュード群体x5 モノリスＮＳＩx1	300
月影・烈風	2.4	1140	D-	C+	C+	A-	C-	月影・暁／胴パーツを所持	完全勝利章x3 複層重合金属x1 ニュード融素子x1 ロゼンジ重回路x5	400
ガルム67	2.7	1140	D-	C	C	B-	B	?	隕鉄塊x20 ニュード卵x20 ペンタクル回路x10	150
ガルム68	2.7	1120	E+	A	D-	B-	B+	ガルム67／胴パーツを所持	鉛板x30 ニュード胚x30 誘電ヘリックスx1	200
ガルム67U	2.2	1160	D	B	C+	B-	D-	ガルム68／胴パーツを所持	コアアタッカーx20 ウーツ重鋼x15 真鋼テクタイトx2 ロゼンジ重回路x3	300
ガルム70	2.3	1160	D	C	C-	B-	A+	ガルム67U／胴パーツを所持	コアアタッカーx30 複層重合金属x2 真鋼テクタイトx3 ニュード集積体x2	400

■腕部パーツ
○名称	チップ容量	重量	装甲	反動吸収	リロード	武器変更	予備弾数	条件	素材・勲章	GP
クーガーI型	2.0	850	C+	C-	C-	C-	E	初期装備	なし	0
クーガーII型	2.0	860	C+	B	D	C-	C+	クーガーI型／腕パーツを所持	鉛板x10 隕鉄塊x5 銀片x5	10
クーガーS型	1.7	900	B	B+	C-	C-	B	累計バトル時間80000秒以上。または17250pt以上。クーガーII型／腕パーツを所持	戦闘勝利章x10 チタン鋼x10 ウーツ重鋼x5 メタモチップx3	150
クーガーNX	1.6	930	B-	C-	C+	B-	B-	クーガーS型／腕パーツを所持	鉛板x15 複層重合金属x2 メタモチップx1	350
ツェーブラ38	2.1	780	C	C+	B-	E+	B+	クラスD4で支給	なし	0
ツェーブラ39	1.7	780	D+	D+	A-	E	B-	ツェーブラ38／腕パーツを所持	鉛板x10 チタン鋼x10 メタモチップx1	50
ツェーブラ41	2.4	830	C+	S-	C-	E	B+	ツェーブラ39／腕パーツを所持	隕鉄塊x25 ウーツ重鋼x3 メタモチップx1	150
ツェーブラ48C	1.7	840	C+	A-	B-	D+	B	ツェーブラ41／腕パーツを所持	複層重合金属x2 銅片x15 メタモチップx1	250
エンフォーサーI型	1.3	780	C	C-	C+	C+	C+	クラスB5で支給	なし	0
エンフォーサーII型	1.9	850	B	C-	C+	D	B-	エンフォーサーI型／腕パーツを所持	超剛性メタルx1 黄金片x15	50
エンフォーサーIII型	2.0	850	C+	B+	C+	D	B-	エンフォーサーII型／腕パーツを所持	隕鉄塊x15 超剛性メタルx1 ソノチップx5	150
エンフォーサーX型	2.1	840	B	B	C	D+	B-	エンフォーサーIII型／腕パーツを所持	複層重合金属x2 ソノチップx3 ペンタクル回路x5	250
E.D.G.－α	1.4	850	D-	C-	B+	C-	C	累計バトル時間66000秒以上。または9000pt以上。	チタン鋼x5 超剛性メタルx2 銀片x7	50
E.D.G.－β	0.7	860	D-	E	A+	C	D-	E.D.G.‐α／腕パーツを所持	隕鉄塊x15 超剛性メタルx2 黄金片x5	100
E.D.G.－δ	1.3	850	D-	A-	B	C-	C+	E.D.G.‐β／腕パーツを所持	超剛性メタルx5 ソノチップx1	200
E.D.G.－θ	1.3	840	D	D+	A-	C	D	E.D.G.‐δ／腕パーツを所持	奇襲章x3 複層重合金属x2 銅片x20 破損ＩＣx10	300
ディスカス・プロト	2.0	880	B	C+	D+	C	B+	累計バトル時間36000秒以上。または11250pt以上	鉛板x25 ソノチップx5	50
ディスカス・ダート	1.4	810	C-	D+	C+	B	C+	ディスカス・プロト／腕パーツを所持	隕鉄塊x15 超剛性メタルx2 銅片x10	100
ディスカス・ノヴァ	2.2	1020	A-	A-	D+	C-	A-	ディスカス・ダート／腕パーツを所持	複層重合金属x1 黄金片x10 メタモチップx1	200
ディスカス・エヴォル	1.7	920	B	C	C	B+	B-	ディスカス・ノヴァ／腕パーツを所持	ベースガード/金x3 チタン鋼x10 メタモチップx5 ペンタクル回路x10	300
ネレイド45	1.5	740	C	D	C-	B-	B	クラスB5で支給	なし	0
ネレイド45改	1.5	760	C	C+	D+	B-	B	ネレイド45／腕パーツを所持	隕鉄塊x10 超剛性メタルx2 ソノチップx2	50
ネレイド46	1.6	810	C+	D	D	A+	B+	ネレイド45改／腕パーツを所持	超剛性メタルx1 複層重合金属x1 銀片x5	150
ネレイドRT	1.5	840	B-	D-	D+	S	B+	ネレイド46／腕パーツを所持	オールマイティーx5 複層重合金属x2 銀片x5 ペンタクル回路x10	250
迅牙	1.2	760	C-	C-	C-	A-	B-	累計バトル時間48000秒以上。または11250pt以上	ウーツ重鋼x2 超剛性メタルx2 銅片x10	100
迅牙・甲	1.3	850	C	C	B-	C+	B-	迅牙／腕パーツを所持	複層重合金属x1 銅片x20 メタモチップx1	150
迅牙・真	1.8	890	C+	A+	B-	D-	B	迅牙・甲／腕パーツを所持	鉛板x25 メタモチップx2 カロラチップx1	250
迅牙・飛天	1.5	870	B-	B	B-	C-	B	迅牙・真／腕パーツを所持	連続勝利章x3 ウーツ重鋼x10 黄金片x10 モノリスＮＳＩx1	350
雷花	1.5	800	C+	C+	C+	C	C+	累計バトル時間74000秒以上。または累計スコア18375pt以上。	超剛性メタルx2 銀片x25	150
雷花・燕	1.0	780	D+	D+	B+	C+	C-	雷花／腕パーツを所持	複層重合金属x1 銅片x15 ハニカム回路x10	200
雷花・麗	1.2	880	B-	A-	C+	C-	C+	雷花・燕／腕パーツを所持	COMBO/銅x20 超剛性メタルx2 ソノチップx10 高磁性アグミナx1	300
雷花・燐	0.9	870	C+	C	A-	D+	E+	雷花・麗／腕パーツを所持	COMBO/銀x20 複層重合金属x2 銀片x10 高磁性アグミナx1	400
グライフ65	1.6	760	D+	D-	C+	A-	D+	?	チタン鋼x15 ソノチップx3 ペンタクル回路x5	150
グライフ66	1.7	810	C-	C	B	C-	C-	グライフ65／腕パーツを所持	鉛板x20 ウーツ重鋼x5 黄金片x10	200
グライフ65V	1.3	800	C-	E+	B	B+	D+	グライフ66／腕パーツを所持	オールマイティーx5 複層重合金属x1 メタモチップx1 カロラチップx1	300
グライフ68G	1.6	840	C	B-	B	C	C-	グライフ65V／腕パーツを所持	グランドスラムx2 超剛性メタルx5 複層重合金属x1 ルミノチップx2	400
ザオレン	1.8	840	C-	B	C+	C	C+	?	鉛板x30 超剛性メタルx1 ソノチップx3	150
ザオレン・ガイ	1.3	830	C	C-	B	C+	C+	ザオレン／腕パーツを所持	ウーツ重鋼x5 メタモチップx2 ペンタクル回路x10	200
ザオレン・リアン	1.8	850	C+	A+	C	D+	B-	ザオレン・ガイ／腕パーツを所持	ターレットスキル/銀x1 超剛性メタルx3 銅片x15 高磁性アグミナx1	300
ザオレン・ダジアン	1.6	870	C	B-	B-	C+	C+	ザオレン・リアン／腕パーツを所持	ターレットスキル/金x1 複層重合金属x2 真鋼テクタイトx2 ハニカム回路x15	400
X－Ie	1.7	890	C+	B	C+	B+	C	?	隕鉄塊x15 銀片x15 破損ＩＣx20	150
X－IIs	1.3	860	C	D	B	B	C-	X－Ie／腕パーツを所持	チタン鋼x15 高磁性アグミナx3 誘電ヘリックスx1	200
X－IIIcg	1.4	900	B-	C+	B-	B-	C+	X－IIs／腕パーツを所持	戦闘勝利章x5 鉛板x15 真鋼テクタイトx2 メタモチップx5	300
ヘヴィガードI型	2.6	1000	A	B+	E+	D-	A-	クラスD4で支給。	なし	0
ヘヴィガードIII型	2.5	1120	A+	S-	E	E	S-	ヘヴィガードI型／腕パーツを所持	鉛板x15 ウーツ重鋼x3 銅片x10	50
ヘヴィガードIV型	2.3	1050	A	B	D+	D+	A+	ヘヴィガードIII型／腕パーツを所持	鉛板x15 ウーツ重鋼x3 ソノチップx3	150
ヘヴィガードG型	2.1	1070	A+	B+	C-	D-	A-	ヘヴィガードIV型／腕パーツを所持	ウーツ重鋼x3 複層重合金属x2 メタモチップx1	250
ケーファー42	2.3	930	B+	B	D	D	A-	累計バトル時間18000秒以上。または5625pt以上	鉛板x5 隕鉄塊x20 ソノチップx3	50
ケーファー44	1.8	910	B	C+	C-	C+	B+	ケーファー42／腕パーツを所持	チタン鋼x15 メタモチップx2	100
ケーファー45	2.3	980	B+	A+	E+	D	A+	ケーファー44／腕パーツを所持	鉛板x20 超剛性メタルx3 ソノチップx2	200
ケーファー52	1.8	1000	A-	B+	D-	B-	A-	ケーファー45／腕パーツを所持	占拠章x15 ウーツ重鋼x10 銀片x30 高磁性アグミナx1	300
ロージーR	2.4	1010	A+	B-	D+	D-	A-	累計バトル時間42000秒以上。または6750pt以上	隕鉄塊x15 ウーツ重鋼x3 ソノチップx3	50
ロージーR＋	2.5	1030	A+	A-	D	E	A+	ロージーR／腕パーツを所持	鉛板x10 複層重合金属x1 メタモチップx2	100
ロージーLM	2.0	980	A	C	C+	D	B+	ロージーR+／腕パーツを所持	複層重合金属x1 銅片x10 カロラチップx1	200
ロージーEVE	2.3	1150	S	B	E+	E+	S-	ロージーLM／腕パーツを所持	プラントガード/銀x15 超剛性メタルx5 メタモチップx3	300
ランドバルクI型	1.6	930	B	C-	B-	D+	B	累計バトル時間60000秒以上。または累計スコア13125pt以上。	隕鉄塊x20 銀片x15 メタモチップx1	100
ランドバルクII型	1.5	900	B	D-	B-	C	B	ランドバルクI型／腕パーツを所持	鉛板x30 隕鉄塊x5 カロラチップx1	150
ランドバルクIV型	1.6	950	B	B+	B-	D-	B+	ランドバルクII型／腕パーツを所持	チタン鋼x20 ウーツ重鋼x2 カロラチップx1	250
ランドバルクAT	1.5	1030	A-	C	B	D	B	ランドバルクIV型を所持	最優秀戦闘章x3 複層重合金属x1 ニュード卵x25 高磁性アグミナx3	350
ヤーデ54	1.7	920	A-	C+	C-	C	B	累計バトル時間116000秒以上もしくは累計スコア16125pt以上(3.5AB準拠)で開放	超剛性メタルx3 銅片x10 黄金片x5	100
ヤーデ54S	2.2	1010	A	A	D-	D-	A	ヤーデ54／腕パーツを所持	鉛板x20 メタモチップx3 ロゼンジ重回路x2	200
ヤーデ55	1.9	950	A+	C+	D	C	B+	ヤーデ54S／腕パーツを所持	破壊工作/銀x10 複層重合金属x1 メタモチップx2 ロゼンジ重回路x5	300
ヤーデVMT	1.6	1000	A+	B+	C	D	B+	ヤーデ55／腕パーツを所持	破壊工作/金x1 鉛板x15 ソノチップx3 モノリスＮＳＩx2	400
ジーシェン	2.1	960	B+	C	C+	D+	B+	累計バトル時間122000秒以上または累計スコア22875pt以上	ウーツ重鋼x10 銅片x10 銀片x3	150
ジーシェン・フー	1.5	950	B	C-	B-	C+	B	ジーシェン／腕パーツを所持	複層重合金属x1 銀片x10 ペンタクル回路x10	200
ジーシェン・シー	2.0	980	A-	A-	D	C+	A-	ジーシェン・フー／腕パーツを所持	施設破壊章x5 チタン鋼x3 カロラチップx2 ハニカム回路x5	300
ジーシェン・パイロン	2.4	1050	A	C+	C-	C	B+	ジーシェン・シー／腕パーツを所持	防衛章x10 超剛性メタルx3 ソノチップx5 モノリスＮＳＩx1	400
スペクターI型	1.9	890	B+	C	C	C+	B	累計バトル時間128000秒以上。または累計スコア21750pt以上。	隕鉄塊x20 ニュード集積体x1 銅片x20	150
スペクターI型C	1.8	900	B+	B	C-	C	B+	スペクターI型／腕パーツを所持	ニュード融素子x1 銀片x10 破損ＩＣx20	200
スペクターIII型	1.6	950	A-	B-	D+	B-	A-	スペクターI型C／腕パーツを所持	バトルアシスト/銀x10 複層重合金属x1 メタモチップx3 ハニカム回路x10	300
スペクターMRG	1.5	860	B	D	C+	C+	B	スペクターIII型／腕パーツを所持	バトルアシスト/金x10 複層重合金属x2 ルミノチップx2 ロゼンジ重回路x5	400
アイアンフォートI型	1.8	930	B+	D+	C-	B	A-	?	隕鉄塊x10 銀片x20 ハニカム回路x20	150
アイアンフォートII型	2.0	990	A-	B-	C-	C-	A	アイアンフォートI型／腕パーツを所持	最優秀戦闘章x1 チタン鋼x15 真鋼テクタイトx1 ペンタクル回路x15	200
アイアンフォートIV型	2.2	1040	A+	C	D+	B-	A+	アイアンフォートII型／腕パーツを所持	最優秀戦闘章x2隕鉄塊x30 カロラチップx1 ルミノチップx2	300
シュライクI型	1.3	660	D-	D	C+	B-	E	クラスD4で支給。	なし	0
シュライクII型	0.9	620	E	E	B	A	E	シュライクI型／腕パーツを所持	鉛板x15 超剛性メタルx1 黄金片x5	50
シュライクV型	1.4	700	D-	C-	B-	C+	D+	シュライクII型／腕パーツを所持	隕鉄塊x20 ウーツ重鋼x3 ソノチップx1	150
シュライクW型	0.9	650	E	E+	A-	C+	E	シュライクV型／腕パーツを所持	複層重合金属x2 銀片x10 メタモチップx1	250
ヤクシャ	1.0	770	D	D	C+	B+	C-	累計バトル時間92000秒以上。または15000pt以上。	隕鉄塊x25 ウーツ重鋼x3 メタモチップx1	150
ヤクシャ・改	0.5	710	D-	E	B	A+	D	ヤクシャ／腕パーツを所持	チタン鋼x15 超剛性メタルx2 ソノチップx3	250
ヤクシャ・弐	1.2	790	D	B	C-	B+	C	ヤクシャ・改／腕パーツを所持	英雄章x2 鉛板x25 ウーツ重鋼x5 カロラチップx1	350
ヤクシャ・零	0.9	750	D	C-	B	B	D	ヤクシャ・弐／腕パーツを所持	連続勝利章x5 銀片x25 ルミノチップx2 高磁性アグミナx5	400
セイバーI型	1.0	680	D-	D	C-	S-	C-	累計バトル時間54000秒以上。または10125pt以上	隕鉄塊x10 超剛性メタルx1 銅片x20	50
セイバーI型R	1.2	670	E	A-	D	B+	C+	セイバーI型／腕パーツを所持	隕鉄塊x5 ウーツ重鋼x5 メタモチップx2	100
セイバーII型	0.9	700	D	D	B-	B	C-	セイバーI型R／腕パーツを所持	超剛性メタルx2 複層重合金属x1 ソノチップx2	200
セイバーZX	1.2	720	D	B-	C	A	C-	セイバーII型／腕パーツを所持	コアストライカーx10 超剛性メタルx3 カロラチップx1 ハニカム回路x20	300
B.U.Z.－α	1.1	600	E	E	C+	A+	E+	累計バトル時間98000秒以上。または累計スコ13875pt以上。	隕鉄塊x15 銀片x10 メタモチップx2	100
B.U.Z.－β	1.0	640	E	E	B+	B+	E+	B.U.Z.-α／腕パーツを所持	鉛板x10 ソノチップx5 カロラチップx1	150
B.U.Z.－γ	0.8	650	E	D	A-	C-	E+	B.U.Z.-β／腕パーツを所持	マルチスコアラー/銀x20 複層重合金属x2 銀片x10	250
B.U.Z.－λ	0.9	630	E+	D+	B	A-	D	B.U.Z.-γ／腕パーツを所持	マルチスコアラー/金x5 ウーツ重鋼x3 ハニカム回路x10 モノリスＮＳＩx2	350
フォーミュラII型	1.2	700	D	D	B	C+	C-	累計バトル時間104000謬以上。または累計スコア20625pt以上。	隕鉄塊x20 チタン鋼x10 メタモチップx5	100
フォーミュラII型C	1.2	750	D+	B	C+	C	C	フォーミュラII型／腕パーツを所持	鉛板x20 超剛性メタルx1 カロラチップx1	200
フォーミュラF型	1.1	710	D-	D-	B	B+	C	フォーミュラII型C／腕パーツを所持	白銀武勲x30 複層重合金属x2 銀片x10	300
フォーミュラMST	1.3	730	D+	D	B+	C+	D	フォーミュラF型／腕パーツを所持	黄金武勲x3 チタン鋼x25 ルミノチップx2 高磁性アグミナx3	400
